Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","02199.20","Other live animals, n.e.c.","2021","2021","1000 US$","127","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","25090","Other manufactured tobacco and manufactured tobacco substitutes; "homogenized" or "reconstituted" tobacco; tobacco extracts and essences","2021","2021","1000 US$","308","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21170.92","Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","2021","2021","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24490","Other non-alcoholic caloric beverages","2021","2021","1000 US$","8990","E","Estimated value"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","1000 US$","12","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21691.90","Other oil of vegetable origin, crude n.e.c.","2021","2021","1000 US$","1474","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01449.90","Other oil seeds, n.e.c.","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01709.90","Other pulses n.e.c.","2021","2021","1000 US$","20","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","1000 US$","1191","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01319","Other tropical fruits, n.e.c.","2021","2021","1000 US$","2554","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21330.90","Other vegetables provisionally preserved","2021","2021","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01290.90","Other vegetables, fresh n.e.c.","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","2165","Palm oil","2021","2021","1000 US$","135433","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21399.01","Paste of tomatoes","2021","2021","1000 US$","290","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","F0022","Pastry","2021","2021","1000 US$","6894","A","Official figure"
